cloth_color,cloth_name,cloth_link,cloth_image,cloth_pattern,cloth_type
57,와이드 데님 팬츠 (BLEACH),https://www.musinsa.com/app/goods/986708/0,https://image.msscdn.net/images/goods_img/20190319/986708/986708_1_500.jpg?t=20220628154233,None,데님 팬츠
58,와이드 데님 팬츠 (LIGHT BLUE),https://www.musinsa.com/app/goods/858911/0,https://image.msscdn.net/images/goods_img/20180914/858911/858911_6_500.jpg?t=20220628150414,None,데님 팬츠
2,3-스트라이프 트레이닝 팬츠 - 블랙 / CM1409,https://www.musinsa.com/app/goods/957880/0,https://image.msscdn.net/images/goods_img/20190219/957880/957880_8_500.jpg?t=20210727113258,스트라이프,트레이닝/조거 팬츠
2,라이트웨이트 밴딩 하프 슬랙스 [블랙],https://www.musinsa.com/app/goods/1079390/0,https://image.msscdn.net/images/goods_img/20190620/1079390/1079390_5_500.jpg?t=20210705143724,None,슈트 팬츠/슬랙스
2,OG se 카고조거 슬랙스 Black,https://www.musinsa.com/app/goods/573121/0,https://image.msscdn.net/images/goods_img/20170608/573121/573121_23_500.jpg?t=20220628171400,None,트레이닝/조거 팬츠
