cloth_name,cloth_link,cloth_image,cloth_pattern,cloth_type,codi_link
KARAKORAM GOOSE DOWN PARKA _ OLIVE,https://www.musinsa.com/app/goods/1648828/0,https://image.msscdn.net/images/goods_img/20201015/1648828/1648828_1_500.jpg?t=20201102092235,None,숏패딩/숏헤비 아우터,https://www.musinsa.com/app/styles/views/18929?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=52
FOUR LEAF CLOVER LAMBSWOOL BLEND OVER FIT CARDIGAN BROWN,https://www.musinsa.com/app/goods/1611539/0,https://image.msscdn.net/images/goods_img/20200918/1611539/1611539_1_500.jpg?t=20200922173323,None,카디건,https://www.musinsa.com/app/styles/views/18929?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=52
클래스 오브 19 라이더 집업 재킷 D/GRAY G9F9J102_97,https://www.musinsa.com/app/goods/1128594/0,https://image.msscdn.net/images/goods_img/20190826/1128594/1128594_1_500.jpg?t=20220628150645,None,블루종/MA-1,https://www.musinsa.com/app/styles/views/11885?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=52
라이옷 그래픽 자카드 가디건,https://www.musinsa.com/app/goods/410976/0,https://image.msscdn.net/images/goods_img/20160912/410976/410976_3_500.jpg?t=20190222113817,None,카디건,https://www.musinsa.com/app/styles/views/3742?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=52
U 로고 와펜 후드 집업 그레이(IK2CSMM481A),https://www.musinsa.com/app/goods/2289041/0,https://image.msscdn.net/images/goods_img/20220103/2289041/2289041_1_500.jpg?t=20220110164747,로고,후드 집업,https://www.musinsa.com/app/styles/views/26199?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=52
솔리드 무톤 자켓 (블랙베이지),https://www.musinsa.com/app/goods/1539381/0,https://image.msscdn.net/images/goods_img/20200806/1539381/1539381_4_500.jpg?t=20221012142322,None,무스탕/퍼,https://www.musinsa.com/app/styles/views/19586?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=52
BOX KNIT VEST DARK BROWN,https://www.musinsa.com/app/goods/1673056/0,https://image.msscdn.net/images/goods_img/20201102/1673056/1673056_3_500.jpg?t=20210419161817,None,베스트,https://www.musinsa.com/app/styles/views/19586?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=52
N221UFT903 우븐 후디 트레이닝 자켓 CARBON BLACK,https://www.musinsa.com/app/goods/2361976/0,https://image.msscdn.net/images/goods_img/20220215/2361976/2361976_6_500.jpg?t=20220628170755,None,나일론/코치 재킷,https://www.musinsa.com/app/styles/views/25931?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=52
원 사이드 셋업 블레이저_Black,https://www.musinsa.com/app/goods/1797516/0,https://image.msscdn.net/images/goods_img/20210217/1797516/1797516_2_500.jpg?t=20210224033138,None,슈트/블레이저 재킷,https://www.musinsa.com/app/styles/views/20321?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=52
울 더블 클로스 자켓 SAND BROWN,https://www.musinsa.com/app/goods/2766851/0,https://image.msscdn.net/images/goods_img/20220902/2766851/2766851_2_500.jpg?t=20220906184834,None,트러커 재킷,https://www.musinsa.com/app/styles/views/29489?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=53
