cloth_name,cloth_link,cloth_image,cloth_pattern,cloth_type,codi_link,cloth_color
Wool Pants -Charcoal-,https://www.musinsa.com/app/goods/919360/0,https://image.msscdn.net/images/goods_img/20181207/919360/919360_3_500.jpg?t=20220628144651,None,슈트 팬츠/슬랙스,https://www.musinsa.com/app/styles/views/7960?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=169,None
컬러 다잉 와이드 벌룬 팬츠 라이트 핑크,https://www.musinsa.com/app/goods/2789044/0,https://image.msscdn.net/images/goods_img/20220914/2789044/2789044_1_500.jpg?t=20220914112128,None,코튼 팬츠,https://www.musinsa.com/app/styles/views/29599?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=169,핑크
BALLOON WIDE DENIM TROUSERS IVORY,https://www.musinsa.com/app/goods/1367176/0,https://image.msscdn.net/images/goods_img/20200325/1367176/1367176_2_500.jpg?t=20200325113801,None,데님 팬츠,https://www.musinsa.com/app/styles/views/15688?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=169,None
비스코스 니트 조거팬츠 IVORY,https://www.musinsa.com/app/goods/2147116/0,https://image.msscdn.net/images/goods_img/20210927/2147116/2147116_2_500.jpg?t=20210930150957,None,트레이닝/조거 팬츠,https://www.musinsa.com/app/styles/views/23565?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=169,None
PLG 코듀로이 와이드 팬츠(Camel),https://www.musinsa.com/app/goods/2183132/0,https://image.msscdn.net/images/goods_img/20211018/2183132/2183132_2_500.jpg?t=20221110105702,None,코튼 팬츠,https://www.musinsa.com/app/styles/views/30141?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=169,None
Wave Short Khaki,https://www.musinsa.com/app/goods/2409374/0,https://image.msscdn.net/images/goods_img/20220310/2409374/2409374_1_500.jpg?t=20220310202333,None,숏 팬츠,https://www.musinsa.com/app/styles/views/26418?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=169,None
투턱 스트링 카고 조거 팬츠 (BEIGE),https://www.musinsa.com/app/goods/1979566/0,https://image.msscdn.net/images/goods_img/20210602/1979566/1979566_1_500.jpg?t=20210602143540,None,트레이닝/조거 팬츠,https://www.musinsa.com/app/styles/views/21764?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=169,카고
[UNISEX] 202 반바지 _ 블랙,https://www.musinsa.com/app/goods/1272058/0,https://image.msscdn.net/images/goods_img/20200115/1272058/1272058_1_500.jpg?t=20200117130157,None,숏 팬츠,https://www.musinsa.com/app/styles/views/14548?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=169,블랙
SIDE POCKET 스웻 팬츠 Cream,https://www.musinsa.com/app/goods/1123949/0,https://image.msscdn.net/images/goods_img/20190821/1123949/1123949_1_500.jpg?t=20190830155439,None,트레이닝/조거 팬츠,https://www.musinsa.com/app/styles/views/12937?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=169,None
프론트포켓 하프팬츠(블랙),https://www.musinsa.com/app/goods/1045629/0,https://image.msscdn.net/images/goods_img/20190515/1045629/1045629_1_500.jpg?t=20190515142653,None,숏 팬츠,https://www.musinsa.com/app/styles/views/11385?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=169,블랙
코튼 밴딩 퍼티그 하프 팬츠_아이보리,https://www.musinsa.com/app/goods/1031971/0,https://image.msscdn.net/images/goods_img/20190430/1031971/1031971_1_500.jpg?t=20220628145525,None,숏 팬츠,https://www.musinsa.com/app/styles/views/10443?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=169,아이보리
Wrinkle Denim BK,https://www.musinsa.com/app/goods/2008439/0,https://image.msscdn.net/images/goods_img/20210624/2008439/2008439_1_500.jpg?t=20220628162822,None,데님 팬츠,https://www.musinsa.com/app/styles/views/21930?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=169,None
1123 SELVEDGE STANDARD JEANS(INDIGO),https://www.musinsa.com/app/goods/1101226/0,https://image.msscdn.net/images/goods_img/20190723/1101226/1101226_2_500.jpg?t=20191212183743,None,데님 팬츠,https://www.musinsa.com/app/styles/views/11670?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=169,None
(size:2) washing denim culotte pants (blue),https://www.musinsa.com/app/goods/2623572/0,https://image.msscdn.net/images/goods_img/20220620/2623572/2623572_1_500.jpg?t=20220620134447,None,데님 팬츠,https://www.musinsa.com/app/styles/views/28099?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=169,denim
시어서커 밴딩 하프팬츠 블랙와치,https://www.musinsa.com/app/goods/2533649/0,https://image.msscdn.net/images/goods_img/20220502/2533649/2533649_1_500.jpg?t=20220504115005,None,숏 팬츠,https://www.musinsa.com/app/styles/views/27608?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=169,블랙
Blue Gun Powder - MOD7w,https://www.musinsa.com/app/goods/2035269/0,https://image.msscdn.net/images/goods_img/20210720/2035269/2035269_1_500.jpg?t=20210720163233,None,데님 팬츠,https://www.musinsa.com/app/styles/views/25475?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=169,None
(SS21) Hiking Pant Charcoal,https://www.musinsa.com/app/goods/1854538/0,https://image.msscdn.net/images/goods_img/20210319/1854538/1854538_1_500.jpg?t=20210319173517,None,트레이닝/조거 팬츠,https://www.musinsa.com/app/styles/views/21051?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=169,None
와이드 쇼츠 반타 블랙,https://www.musinsa.com/app/goods/1853125/0,https://image.msscdn.net/images/goods_img/20210318/1853125/1853125_2_500.jpg?t=20210322162244,None,숏 팬츠,https://www.musinsa.com/app/styles/views/20545?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=169,블랙
Pollack Corduroypants _Camel,https://www.musinsa.com/app/goods/1582962/0,https://image.msscdn.net/images/goods_img/20200903/1582962/1582962_3_500.jpg?t=20201026152156,None,코튼 팬츠,https://www.musinsa.com/app/styles/views/19314?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=169,None
VN0A3H5PH3G1 / 어센틱 치노 크롭 팬츠 - 밀리터리 카키,https://www.musinsa.com/app/goods/700285/0,https://image.msscdn.net/images/goods_img/20180117/700285/700285_1_500.jpg?t=20180130114540,None,코튼 팬츠,https://www.musinsa.com/app/styles/views/4027?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=169,카키
